ClientID,ClientName,Budget,Expenses,Revenue,Profit,FinancialAdvisor
112,Yellow Apple,90000,84500,93000,8500,Hank Yellow
111,Orange Mango,92000,84000,124000,40000,Frank Black
102,Beta Inc,75000,50000,90000,40000,Bob Smith
104,Delta Co,85000,70000,110000,40000,Dave Brown
110,Juliet Co,99000,94000,130000,36000,Jack Violet
101,Acme Corp,50000,90000,55000,-35000,Alice Johnson
103,Charlie LLC,60000,45000,80000,35000,Carol White
105,Echo Ltd,95000,85000,120000,35000,Eve Green
106,Foxtrot Enterprises,70000,105000,140000,35000,Frank Black
109,India LLC,95000,90000,125000,35000,Ivy Red
107,Golf Corp,80000,75000,105000,30000,Grace Blue
108,Hotel Inc,90000,85000,115000,30000,Hank Yellow
291,Tissues Ink,9000,850,5000,-150,Hank Yellow
219,Tennis Djo,90000,80500,90000,9500,Hank Yellow
206,CR7 Enterprises,63000,150000,220000,70000,Bob Smith
201,Ace Inc,30000,70000,38000,-32000,Alice Johnson
202,Orlando Inc,85000,20000,80000,60000,Bob Smith
113,Purple Pear,105000,95000,120000,25000,Frank Black
114,Lemon Tech,78000,68000,98000,30000,Jack Violet
115,Zeta Systems,87000,77000,102000,25000,Bob Smith
116,Alpha Solutions,92000,82000,112000,30000,Carol White
117,Kilo Corp,81000,71000,96000,25000,Eve Green
118,Lima Enterprises,64000,59000,84000,25000,Hank Yellow
119,Mike Ltd,98000,88000,118000,30000,Dave Brown
120,Nano Co,67000,62000,87000,25000,Alice Johnson
121,Oscar Inc,76000,71000,96000,25000,Frank Black
122,Papa Systems,89000,84000,109000,25000,Jack Violet
123,Quebec Tech,94000,89000,114000,25000,Bob Smith
124,Romeo Corp,73000,68000,93000,25000,Carol White
125,Sierra Solutions,82000,77000,102000,25000,Eve Green
126,Tango Enterprises,91000,86000,116000,30000,Hank Yellow
127,Uniform Ltd,69000,64000,94000,30000,Dave Brown
128,Victor Co,77000,72000,97000,25000,Alice Johnson
129,Whiskey Inc,88000,83000,108000,25000,Frank Black
130,X-ray Systems,79000,74000,99000,25000,Jack Violet
131,Yankee Innovations,96000,91000,123000,32000,Bob Smith
132,Zulu Labs,83000,78000,103000,25000,Carol White
133,Bravo Tech,89000,84000,110000,26000,Eve Green
134,Charlie Digital,65000,60000,85000,25000,Hank Yellow
135,Delta Dynamics,99000,94000,124000,30000,Dave Brown
136,Echo Electronics,72000,67000,92000,25000,Alice Johnson
137,Foxtrot Fusion,86000,81000,106000,25000,Frank Black
138,Golf Gadgets,92000,87000,117000,30000,Jack Violet
139,Hotel Hardware,75000,70000,95000,25000,Bob Smith
140,India Instruments,81000,76000,101000,25000,Carol White
141,Juliet Jets,88000,83000,108000,25000,Eve Green
142,Kilo Kits,93000,88000,113000,25000,Hank Yellow
143,Lima Logistics,70000,65000,90000,25000,Dave Brown
144,Mike Motors,76000,71000,96000,25000,Alice Johnson
145,Nano Navigations,82000,77000,102000,25000,Frank Black
146,Oscar Optics,69000,64000,94000,30000,Jack Violet
147,Papa Productions,87000,82000,107000,25000,Bob Smith
148,Quebec Quality,78000,73000,98000,25000,Carol White
149,Federer Fashions,95000,90000,120000,30000,Eve Green
150,Nadal Networks,88000,83000,107000,24000,Hank Yellow
151,Djokovic Digital,92000,87000,115000,28000,Dave Brown
152,Osaka Optics,67000,62000,87000,25000,Alice Johnson
153,Williams Wearables,89000,84000,110000,26000,Frank Black
154,Thiem Tech,81000,76000,100000,24000,Jack Violet
155,Barty Brands,83000,78000,103000,25000,Bob Smith
156,Zverev Zoom,87000,82000,108000,26000,Carol White
157,Andreescu Analytics,76000,71000,96000,25000,Eve Green
158,Kyrgios Kits,93000,88000,113000,25000,Hank Yellow
159,Halep Hardware,70000,65000,90000,25000,Dave Brown
160,Medvedev Motors,78000,73000,98000,25000,Alice Johnson
161,Pliskova Platforms,82000,77000,102000,25000,Frank Black
162,Tsitsipas Systems,91000,86000,116000,30000,Jack Violet
163,Konta Creations,69000,64000,94000,30000,Bob Smith
164,Svitolina Solutions,87000,82000,107000,25000,Carol White
165,Berrettini Brands,79000,74000,99000,25000,Eve Green
166,Muguruza Machines,88000,83000,108000,25000,Hank Yellow
167,Messi Media,98000,93000,123000,30000,Dave Brown
168,Ronaldo Retail,91000,86000,112000,26000,Alice Johnson
169,Neymar Networks,94000,89000,119000,30000,Frank Black
170,Mbappe Motors,87000,82000,108000,26000,Jack Violet
171,Salah Systems,83000,78000,103000,25000,Bob Smith
172,Kane Kits,85000,80000,105000,25000,Carol White
173,Lewandowski Labs,92000,87000,114000,27000,Eve Green
174,De Bruyne Digital,89000,84000,110000,26000,Hank Yellow
175,Van Dijk Ventures,76000,71000,96000,25000,Dave Brown
176,Modric Media,93000,88000,113000,25000,Alice Johnson
177,Suarez Solutions,70000,65000,90000,25000,Frank Black
178,Hazard Hardware,82000,77000,102000,25000,Jack Violet
179,Aguero Analytics,91000,86000,116000,30000,Bob Smith
180,Pogba Productions,69000,64000,94000,30000,Carol White
181,Griezmann Graphics,87000,82000,107000,25000,Eve Green
182,Sterling Software,79000,74000,99000,25000,Hank Yellow
183,Kroos Creations,88000,83000,108000,25000,Dave Brown
184,Coutinho Corp,78000,73000,98000,25000,Alice Johnson

