Match ID,Actual Duration,Predicted Duration
1,120,115
2,150,160
3,90,95
4,180,170
5,130,135
6,110,105
7,160,155
8,100,110
9,170,165
10,140,145
11,130,125
12,150,140
13,120,130
14,180,175
15,110,120
16,160,150
17,100,90
18,170,180
19,140,135
20,130,140
21,120,110
22,150,160
23,90,85
24,180,190
25,130,120
26,110,100
27,160,170
28,100,95
29,170,160
30,140,150
31,125,130
32,155,150
33,95,100
34,175,180
35,135,140
36,115,110
37,165,160
38,105,100
39,175,170
40,145,150
41,135,130
42,155,145
43,125,135
44,185,180
45,115,125
46,165,155
47,105,95
48,175,185
49,145,140
50,135,145
51,125,115
52,155,165
53,95,195
54,185,195
55,135,125
56,115,105
57,165,175
58,105,100
59,175,165
60,145,155
61,135,125
62,125,135
63,155,145
64,95,105
65,185,175
66,135,145
67,115,125
68,165,155
69,105,115
70,175,165
71,145,155
72,135,145
73,125,135
74,155,145
75,95,85
76,185,195
77,135,125
78,115,105
79,165,175
80,105,95
81,175,165
82,145,155
83,135,125
84,125,135
85,155,165
86,95,105
87,185,175
88,135,145
89,115,125
90,165,155
91,105,115
92,175,185
93,145,135
94,135,145
95,125,115
96,155,165
97,95,85
98,185,195
99,135,125
100,115,105
101,165,160
102,105,110
103,175,170
104,145,150
105,135,130
106,125,120
107,155,160
108,95,100
109,185,180
110,135,140
111,115,110
112,165,170
113,105,100
114,175,180
115,145,140
116,135,130
117,125,120
118,155,160
119,95,90
120,185,190
121,135,130
122,115,190
123,165,160
124,105,110
125,175,170
126,145,150
127,135,140
128,125,130
129,155,150
130,95,100
131,185,180
132,135,140
133,115,110
134,165,170
135,105,100
136,175,180
137,145,140
138,135,130
139,125,120
140,155,160
141,95,90
142,185,190
143,135,130
144,115,120
145,165,160
146,105,110
147,175,170
148,145,150
149,135,140
150,125,130
151,155,150
152,95,100
153,185,180
154,135,140
155,115,110
156,165,170
157,105,100
158,175,180
159,145,140
160,135,130
161,125,120
162,155,200
163,95,180
164,185,190
165,135,130
166,115,120
167,165,160
168,105,110
169,175,170
170,145,150
171,135,140
172,125,130
173,155,150
174,95,100
175,185,180
176,135,140
177,115,110
178,165,170
179,105,100
180,175,180
181,145,140
182,135,130
183,125,120
184,155,160
185,95,90
186,185,190
187,135,130
188,115,120
189,165,160
190,105,110
191,175,170
192,145,150
193,135,140
194,125,130
195,155,150
196,95,100
197,185,180
198,135,210
199,115,110
200,165,170

